Cod_ID,UDH_Atlas,NOME_UDH,CODMUN6,NOME_MUN,CODUF,NOME_UF,CODRM,NOME_RM,ANO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBFUND,T_FBMED,T_FBSUPER,T_FLBAS,T_FLFUND,T_FLMED,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,CPR,EMP,P_FORMAL,TRABCC,TRABPUB,TRABSC,P_FUND,P_MED,P_SUPER,REN0,REN1,REN2,REN3,REN5,RENOCUP,THEILtrab,T_ATIV,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M10A17CF,T_MULCHEFEFIF014,T_NESTUDA_NTRAB_MMEIO,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_MULCHEFE,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,HOMEM0A4,HOMEM10A14,HOMEM15A19,HOMEM20A24,HOMEM25A29,HOMEM30A34,HOMEM35A39,HOMEM40A44,HOMEM45A49,HOMEM50A54,HOMEM55A59,HOMEM5A9,HOMEM60A64,HOMEM65A69,HOMEM70A74,HOMEM75A79,HOMENS80,HOMEMTOT,MULH0A4,MULH10A14,MULH15A19,MULH20A24,MULH25A29,MULH30A34,MULH35A39,MULH40A44,MULH45A49,MULH50A54,MULH55A59,MULH5A9,MULH60A64,MULH65A69,MULH70A74,MULH75A79,MULHER80,MULHERTOT,PEA,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESOM1014,PESOM1517,PESOM15M,PESOM25M,PESORUR,PESOTOT,PESOURB,PIA,PIA1014,PIA1517,PIA18M,POP,POPT,MULCHEFEFDOM,DOMVULNERACOMID,POPVULNERAVEL15A24,OCUPMMEIOD,T_FBFUND_tudo,T_FBMED_tudo,T_FBBAS_tudo,T_FLFUND_tudo,T_FLMED_tudo,T_FLBAS_tudo,T_FUND11A13_tudo,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1310500000001,1310500000001,Baldim,310500,Baldim (MG),31,MG,63100,RM Belo Horizonte (MG),2000,70.97,2.48,25.8,28.25,91.32,77.41,63.76,9.43,9.69,2.04,1.43,13.65,3.02,14.97,4.48,17.69,13.19,8.36,95.41,108.35,59.01,2.69,87.46,93.77,36.86,0.45,20.32,79.89,15.95,10.56,81.9,97.38,92.79,31.53,2.45,8.96,76.15,47.37,56.08,27.66,21.13,30.82,37.08,16.36,11.6,2.28,92.72,162.17,244.79,411.89,576.65,0.52,13.88,24.47,33.06,53.33,61.05,82.19,40.82,3.45,56.33,11.46,23.73,43.67,70.2,14.25,9.83,316.74,54.59,1292.94,126.9,194.29,315.8,892.13,320.94,42.68,77.94,127.27,0.47,41.83,6.11,7.36,0.0,30.31,0.0,12.48,26.43,3.48,34.7,20.21,10.67,30.99,33.8,21.99,3.83,8.22,67.52,88.55,91.96,96.85,633.38,0.48,,9.42,40.14,71.44,61.39,71.02,,10.83,20.33,20.62,11.92,10.55,96.52,84.85,35.62,75.28,93.4,2.83,,48.21,79.68,2.62,45.51,32.55,62.61,4.55,83.81,17.93,,5.24,6.6,29.06,3.71,67.75,,386,448,453,339,238,285,283,242,192,141,183,422,129,128,85,65,52,4071,315,443,422,306,275,278,284,243,190,166,172,392,159,145,132,76,86,4084,,84.0,224.0,3186.0,117,737,574,554,414,5749,559,1520,521,5190,447,961,410,4229,170,169,144,799,2095,769,443,268,2934,2206,3337,8155,4818,6640.0,891.0,559.0,5190.0,8043.0,,,,,,115.12,87.1,107.77,97.38,46.43,92.79,91.4,0.277,0.591,0.592,0.459,0.766,0.591
1310620001001,1310620001001,Lindéia / Jatobá,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,72.48,2.06,22.8,26.65,92.66,80.59,44.37,3.84,10.48,1.25,1.17,5.78,1.07,6.18,1.54,7.83,11.53,6.33,105.82,110.27,94.05,6.05,90.31,94.76,52.29,3.62,26.64,82.14,23.41,8.15,77.98,97.46,93.26,25.37,3.15,12.96,82.64,63.0,72.07,43.0,34.06,35.53,39.28,21.26,15.72,1.55,196.51,302.57,415.8,634.43,894.71,0.4,3.22,6.13,9.66,16.39,31.7,44.62,30.42,5.63,46.63,16.28,31.68,53.37,76.91,7.47,5.73,468.62,131.93,1425.63,249.54,360.74,508.34,1092.56,468.99,48.46,90.04,167.26,0.29,0.33,20.62,7.18,0.22,47.8,0.65,22.36,21.07,1.84,64.73,55.4,3.56,16.69,50.09,26.37,1.51,1.44,38.59,75.87,87.29,95.69,893.96,0.31,,8.89,45.43,85.71,70.87,85.76,,34.82,51.04,24.71,15.43,12.74,99.89,97.35,36.25,99.87,99.95,0.26,,30.02,73.36,2.54,24.54,11.86,39.84,1.37,59.84,9.59,,1.27,0.05,36.04,29.5,34.46,,1665,1576,1830,2046,1760,1511,1200,972,877,742,537,1491,396,257,133,81,76,17149,1624,1559,1870,2073,1756,1520,1285,1176,981,776,553,1501,388,290,232,125,150,17859,,279.0,943.0,16666.0,697,2541,1891,1950,1946,25593,2076,7819,2284,23517,2474,5743,2480,17774,646,613,652,2973,7590,1344,1559,1039,13176,9233,0,35008,35008,28728.0,3135.0,2076.0,23517.0,34962.5,,,,,,116.86,109.07,114.72,97.65,56.81,93.85,93.08,0.43,0.648,0.664,0.565,0.791,0.654
1310620001002,1310620001002,Solar do Barreiro : Corumbiara,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,70.04,2.42,28.5,33.32,90.93,76.74,65.93,0.87,9.27,2.56,2.6,9.56,6.0,10.2,6.08,11.53,19.76,10.69,102.53,115.8,65.82,2.77,86.34,90.76,30.64,1.09,25.55,80.18,27.15,6.17,66.09,92.2,89.01,43.47,7.46,12.78,72.08,37.42,53.76,33.16,26.39,20.22,24.25,16.28,13.66,1.18,138.99,208.09,304.92,455.49,692.99,0.44,5.54,9.61,20.48,32.34,49.5,64.11,33.83,5.09,49.72,14.76,29.37,50.28,80.19,9.17,6.74,352.96,89.86,1194.12,170.67,257.88,368.93,877.48,353.6,46.34,90.8,149.63,0.34,0.62,14.8,14.29,0.0,53.07,0.76,14.66,22.33,0.64,62.37,55.37,2.84,17.31,38.79,20.64,1.31,1.5,50.64,83.4,91.52,96.63,744.62,0.28,,9.22,53.53,80.37,73.03,85.05,,70.68,52.18,26.04,19.76,24.62,99.87,94.34,50.46,93.86,99.66,1.26,,49.84,74.45,7.8,40.89,27.71,46.76,2.76,77.07,15.33,,0.89,0.34,32.28,38.26,23.18,,63,30,33,32,39,41,31,23,13,8,3,60,2,2,1,0,0,377,50,43,32,43,36,37,35,19,15,7,2,46,4,1,2,1,1,370,,7.0,21.0,305.0,24,59,49,45,69,455,39,139,39,417,40,100,38,317,20,25,21,96,193,7,43,19,232,157,0,747,747,528.0,73.0,39.0,417.0,742.5,,,,,,123.5,78.4,111.52,92.2,32.88,89.25,83.58,0.332,0.49,0.582,0.43,0.751,0.609
1310620001003,1310620001003,Bonsucesso : Novo das Indústrias / São João,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,68.5,2.68,32.53,38.0,89.74,74.21,60.15,2.95,7.95,3.73,3.7,13.71,3.63,14.78,5.84,18.64,26.05,17.66,95.9,107.54,57.12,0.84,82.56,88.75,25.04,0.63,18.76,63.36,18.3,6.15,57.53,91.48,84.98,35.74,6.16,10.16,68.35,37.04,41.38,23.03,17.04,16.01,18.26,9.46,6.59,0.33,112.25,173.09,244.66,374.8,521.21,0.41,6.16,8.48,27.39,37.25,62.13,75.26,31.41,5.75,46.9,16.2,31.38,53.1,78.89,7.75,5.79,276.83,79.63,869.52,144.66,210.09,300.63,649.12,279.1,45.39,92.37,148.38,0.28,1.04,10.52,21.3,0.58,51.19,0.6,14.27,16.19,0.77,62.97,58.77,1.96,21.81,28.02,11.46,0.6,0.49,51.18,87.39,94.79,98.62,647.99,0.21,,4.48,66.34,79.05,72.8,78.8,,13.31,48.21,33.88,25.15,24.11,94.49,88.35,44.57,85.6,96.61,6.06,,67.02,81.24,8.52,56.27,41.91,53.18,2.98,85.18,23.23,,2.18,3.39,39.58,45.67,53.94,,1020,882,842,892,789,722,537,418,367,214,166,969,132,79,55,32,24,8138,1012,852,887,890,777,645,527,483,328,230,200,916,148,125,77,42,47,8187,,78.0,681.0,7024.0,409,1354,1031,995,1217,10675,1027,3511,1075,9648,1066,2484,1034,7164,406,414,397,1852,4232,481,852,517,5407,3631,0,16325,16325,12409.0,1734.0,1027.0,9648.0,16087.166667,,,,,,113.05,67.34,102.5,91.48,30.99,85.95,81.02,0.23,0.447,0.529,0.358,0.725,0.57
1310620001004,1310620001004,Vila Olhos d'Água,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,66.55,3.07,38.2,44.56,88.11,70.91,47.33,4.6,8.55,0.0,1.92,12.18,2.53,13.1,11.24,17.06,26.83,16.37,107.84,125.59,58.61,0.29,85.95,93.19,19.54,0.0,27.82,67.82,28.69,9.49,68.5,94.32,87.3,46.33,12.49,13.51,69.86,27.96,46.91,28.0,21.25,17.91,19.04,10.76,7.81,0.48,108.67,162.02,223.1,328.44,466.16,0.4,8.59,14.13,30.56,42.52,67.85,79.31,30.69,5.43,46.57,16.38,31.74,53.43,77.39,7.5,5.69,250.12,67.86,767.57,136.94,192.12,271.22,582.47,251.51,38.83,87.41,144.55,0.29,0.74,14.75,13.58,0.15,57.68,0.75,10.67,16.99,0.16,61.2,56.68,1.94,23.58,32.86,12.27,0.46,0.65,58.49,92.9,96.51,99.55,568.08,0.19,,7.33,49.16,77.93,73.9,84.25,,79.84,62.54,35.27,21.91,17.77,100.0,92.96,54.62,99.93,99.52,0.4,,52.75,72.18,5.68,45.28,34.43,50.09,5.61,81.55,25.44,,2.02,0.48,35.74,47.36,25.49,,22,20,23,28,27,17,20,10,11,7,8,20,6,3,3,2,1,225,21,16,28,27,18,13,15,14,9,7,5,21,7,5,4,1,3,210,,3.0,13.0,214.0,5,26,18,19,28,316,26,105,31,290,34,79,36,211,10,5,10,45,97,20,16,13,153,99,0,435,435,352.0,36.0,26.0,290.0,434.5,,,,,,130.3,64.83,112.95,94.32,19.54,87.3,83.95,0.28,0.461,0.531,0.39,0.693,0.553
1310620001005,1310620001005,Vila Pilar,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,66.55,3.07,38.2,44.56,88.11,70.91,44.84,4.7,8.55,0.0,1.69,4.92,1.46,5.16,1.02,6.49,26.83,16.37,107.84,125.59,58.61,0.29,85.95,93.19,19.54,0.0,27.82,67.82,28.69,9.49,68.5,94.32,87.3,46.33,12.49,13.51,69.86,27.96,46.91,28.0,21.25,17.91,19.04,10.76,7.81,0.48,108.67,162.02,223.1,328.44,466.16,0.4,8.59,14.13,30.56,42.52,67.85,79.31,30.69,5.43,46.57,16.38,31.74,53.43,77.39,7.5,5.69,250.12,67.86,767.57,136.94,192.12,271.22,582.47,251.51,38.83,87.41,144.55,0.29,0.74,14.75,13.58,0.15,57.68,0.75,10.67,16.99,0.16,61.2,56.68,1.94,23.58,32.86,12.27,0.46,0.65,58.49,92.9,96.51,99.55,568.08,0.19,,7.33,49.16,77.93,73.9,84.25,,79.84,62.54,35.27,21.91,17.77,95.3,92.96,54.62,99.93,99.52,0.4,,52.75,72.18,5.68,45.28,34.43,50.09,5.61,81.55,25.44,,2.02,0.48,35.74,47.36,25.49,,26,28,26,40,26,33,26,16,14,7,6,29,5,7,3,2,2,292,21,24,29,38,24,22,26,19,17,8,7,21,8,7,3,2,3,273,,4.0,15.0,287.0,10,43,35,31,25,417,30,132,33,388,42,103,41,285,12,9,13,50,122,27,24,16,208,142,0,564,564,469.0,52.0,30.0,388.0,564.0,,,,,,130.3,64.83,112.95,94.32,19.54,87.3,83.95,0.28,0.461,0.531,0.39,0.693,0.553
1310620001006,1310620001006,Vila Nova dos Milionários,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,,,,,,,,,,0.0,5.56,11.83,2.14,12.3,1.69,16.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,20,12,20,25,11,20,11,10,9,6,4,17,3,1,2,2,1,169,23,19,22,22,19,13,11,13,14,10,8,14,2,4,2,3,1,196,,,,,10,24,18,17,24,262,18,88,26,244,34,70,35,174,8,4,9,33,75,14,19,10,141,98,0,365,365,,,,,,,,,,,,,,,,,,,,,,,
1310620001007,1310620001007,Vila Átila de Paiva,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,68.5,2.68,32.53,38.0,89.74,74.21,51.05,3.35,7.95,2.17,1.71,10.38,0.35,11.32,3.92,15.23,26.05,17.66,95.9,107.54,57.12,0.84,82.56,88.75,25.04,0.63,18.76,63.36,18.3,6.15,57.53,91.48,84.98,35.74,6.16,10.16,68.35,37.04,41.38,23.03,17.04,16.01,18.26,9.46,6.59,0.33,112.25,173.09,244.66,374.8,521.21,0.41,6.16,8.48,27.39,37.25,62.13,75.26,31.41,5.75,46.9,16.2,31.38,53.1,78.89,7.75,5.79,276.83,79.63,869.52,144.66,210.09,300.63,649.12,279.1,45.39,92.37,148.38,0.28,1.04,10.52,21.3,0.58,51.19,0.6,14.27,16.19,0.77,62.97,58.77,1.96,21.81,28.02,11.46,0.6,0.49,51.18,87.39,94.79,98.62,647.99,0.21,,4.48,66.34,79.05,72.8,78.8,,13.31,48.21,33.88,25.15,24.11,100.0,88.35,44.57,85.6,96.61,6.06,,67.02,81.24,8.52,56.27,41.91,53.18,2.98,85.18,23.23,,2.18,3.39,39.58,45.67,53.94,,84,86,109,120,73,57,43,52,37,24,24,86,21,8,5,4,2,835,69,85,94,80,80,57,64,51,59,46,30,117,25,13,13,6,7,896,,8.0,78.0,791.0,23,138,101,108,100,1204,117,403,133,1087,134,286,127,801,30,48,40,188,443,58,85,57,625,451,0,1731,1731,1375.0,171.0,117.0,1087.0,1731.0,,,,,,113.05,67.34,102.5,91.48,30.99,85.95,81.02,0.23,0.447,0.529,0.358,0.725,0.57
1310620001008,1310620001008,CDI Jatobá : Conjunto Jatobá Especial / Vila Batik,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,66.55,3.07,38.2,44.56,88.11,70.91,57.05,2.18,8.55,1.95,2.93,9.72,4.34,10.5,5.0,12.69,26.83,16.37,107.84,125.59,58.61,0.29,85.95,93.19,19.54,0.0,27.82,67.82,28.69,9.49,68.5,94.32,87.3,46.33,12.49,13.51,69.86,27.96,46.91,28.0,21.25,17.91,19.04,10.76,7.81,0.48,108.67,162.02,223.1,328.44,466.16,0.4,8.59,14.13,30.56,42.52,67.85,79.31,30.69,5.43,46.57,16.38,31.74,53.43,77.39,7.5,5.69,250.12,67.86,767.57,136.94,192.12,271.22,582.47,251.51,38.83,87.41,144.55,0.29,0.74,14.75,13.58,0.15,57.68,0.75,10.67,16.99,0.16,61.2,56.68,1.94,23.58,32.86,12.27,0.46,0.65,58.49,92.9,96.51,99.55,568.08,0.19,,7.33,49.16,77.93,73.9,84.25,,79.84,62.54,35.27,21.91,17.77,99.78,92.96,54.62,99.93,99.52,0.4,,52.75,72.18,5.68,45.28,34.43,50.09,5.61,81.55,25.44,,2.02,0.48,35.74,47.36,25.49,,163,167,166,142,102,108,86,92,54,42,33,160,22,13,7,3,4,1359,145,164,165,142,108,113,115,89,66,46,44,143,25,10,13,4,8,1396,,24.0,92.0,1203.0,48,257,185,202,196,1816,188,614,207,1628,215,427,199,1202,64,76,53,300,744,60,164,92,945,639,0,2755,2755,2147.0,331.0,188.0,1628.0,2748.0,,,,,,130.3,64.83,112.95,94.32,19.54,87.3,83.95,0.28,0.461,0.531,0.39,0.693,0.553
1310620001012,1310620001012,Petrópolis / Vila Petrópolis Especial,310620,Belo Horizonte (MG),31,MG,63100,RM Belo Horizonte (MG),2000,68.58,2.54,32.3,37.76,89.8,74.34,63.42,2.14,9.62,4.91,2.94,9.36,2.58,9.9,5.31,12.44,22.62,12.72,103.36,116.75,69.98,1.61,84.82,91.34,29.67,0.42,18.8,74.88,23.37,8.92,52.56,94.54,88.91,38.91,3.66,16.69,73.18,37.21,44.48,28.04,22.27,16.71,13.76,11.21,10.32,1.32,111.03,189.35,274.07,408.96,585.63,0.43,7.1,10.66,27.63,37.13,57.78,69.17,33.04,5.05,49.04,14.74,29.64,50.96,80.4,8.97,6.65,305.0,77.08,1007.64,147.69,227.2,325.2,747.82,305.0,49.86,90.25,146.21,0.33,0.35,13.72,18.44,0.28,52.3,0.82,13.55,23.35,0.62,58.86,50.83,3.01,21.97,31.4,14.57,1.33,0.22,53.63,84.44,92.66,97.96,691.9,0.27,,3.82,46.37,78.89,74.04,80.58,,61.81,53.23,28.81,21.14,20.3,96.89,88.74,52.7,98.13,99.43,0.6,,56.0,81.2,5.46,46.18,33.16,49.93,2.02,77.82,21.44,,1.66,0.57,37.75,48.7,52.71,,47,37,28,40,35,33,25,18,14,9,4,41,6,3,2,1,1,343,51,34,33,36,34,32,27,18,14,5,6,42,4,4,1,1,2,343,,3.0,16.0,297.0,16,54,43,39,64,435,34,137,37,401,43,103,43,297,18,16,20,84,172,15,34,16,217,147,0,687,687,506.0,71.0,34.0,401.0,686.666667,,,,,,123.59,79.38,110.94,94.54,33.7,89.12,90.38,0.28,0.449,0.546,0.384,0.726,0.585
