T_ANALF15M,T_ATRASO_2_BASICO,T_FUND18M,AGUA_ESGOTO,T_DENS,T_LIXO,GINI,PPOB,T_FUNDIN18MINF,P_FORMAL,T_DES18M,RAZDEP,IDHM
13.65,13.19,27.66,2.83,35.62,75.28,0.52,61.05,62.61,34.7,11.92,63.76,0.592
5.78,11.53,43.0,0.26,36.25,99.87,0.4,31.7,39.84,64.73,15.43,44.37,0.664
9.56,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,65.93,0.582
13.71,26.05,23.03,6.06,44.57,85.6,0.41,62.13,53.18,62.97,25.15,60.15,0.529
12.18,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,47.33,0.531
4.92,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,44.84,0.531
10.38,26.05,23.03,6.06,44.57,85.6,0.41,62.13,53.18,62.97,25.15,51.05,0.529
9.72,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,57.05,0.531
9.36,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,63.42,0.546
12.8,25.73,21.65,1.88,52.41,96.2,0.39,66.84,48.63,66.17,18.76,54.97,0.517
9.38,22.11,31.15,1.98,47.19,95.73,0.42,54.13,47.82,64.85,25.81,56.13,0.57
2.34,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,44.32,0.546
11.5,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,54.64,0.546
5.76,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,41.22,0.546
3.17,15.1,53.86,0.0,24.48,99.53,0.45,25.68,34.5,66.75,17.96,41.52,0.702
2.6,9.43,62.85,0.12,21.42,99.02,0.47,15.19,27.49,67.48,16.27,37.66,0.753
4.01,14.7,52.14,1.03,33.79,98.99,0.46,25.88,34.47,65.84,17.77,44.42,0.692
5.33,14.83,46.65,0.77,31.03,99.01,0.41,33.44,38.27,68.94,19.82,45.54,0.66
6.03,17.46,42.77,0.3,33.66,99.15,0.42,39.65,41.88,66.79,21.83,47.8,0.629
8.4,16.04,38.15,2.7,42.21,97.36,0.45,45.4,41.6,66.56,17.97,51.64,0.621
8.61,20.09,30.66,1.47,47.52,95.4,0.39,52.04,46.29,65.47,20.49,47.78,0.572
9.08,20.37,32.62,0.99,43.18,99.22,0.41,51.77,48.01,62.87,23.46,55.56,0.586
6.03,16.04,38.15,2.7,42.21,97.36,0.45,45.4,41.6,66.56,17.97,47.29,0.621
4.4,17.86,48.15,0.1,33.36,99.36,0.41,27.61,36.49,67.37,16.62,43.08,0.669
6.66,14.98,51.36,0.27,29.73,98.01,0.41,24.6,33.16,69.43,17.88,48.47,0.688
2.13,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,39.72,0.834
2.11,11.62,62.94,0.0,19.21,99.42,0.43,18.03,28.95,69.89,16.99,38.3,0.747
0.96,6.09,90.3,0.18,4.56,99.35,0.5,3.76,5.1,69.06,9.61,30.54,0.909
0.7,7.38,90.01,0.0,2.94,99.96,0.46,0.68,6.7,75.47,9.84,38.36,0.916
0.91,11.02,85.29,0.0,5.59,100.0,0.46,1.05,10.88,66.81,10.36,37.25,0.869
0.6,3.47,92.15,0.0,2.29,99.79,0.43,1.23,4.78,72.64,10.17,33.25,0.909
0.85,4.91,88.23,0.0,4.15,99.7,0.49,3.33,7.55,73.52,10.38,37.6,0.896
17.11,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,70.44,0.531
8.65,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,53.14,0.582
16.58,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,52.01,0.582
15.19,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,64.67,0.582
13.99,24.66,21.61,5.36,52.7,90.82,0.44,61.68,48.79,64.45,18.59,61.43,0.515
1.41,5.28,89.82,0.0,1.43,100.0,0.4,1.19,4.09,71.07,9.55,32.62,0.905
0.72,5.16,90.48,0.28,2.73,99.53,0.5,1.45,5.03,70.12,8.85,30.61,0.913
0.64,3.08,90.04,0.0,2.75,100.0,0.49,0.54,5.62,77.24,8.66,34.94,0.922
0.67,5.16,90.48,0.28,2.73,99.53,0.5,1.45,5.03,70.12,8.85,26.68,0.913
0.47,5.16,90.48,0.28,2.73,99.53,0.5,1.45,5.03,70.12,8.85,24.8,0.913
1.5,12.7,80.81,0.0,10.98,99.97,0.47,6.96,15.09,68.6,13.93,40.07,0.833
