Model,R² Train,R² Test,MAE,RMSE,CV R² Mean,CV R² Std,Overfitting
Gradient Boosting,0.9999097934370613,0.997290438781714,0.002754478038844642,0.005655676989886036,0.9970637270652125,0.0004479840174414702,0.00261935465534735
Random Forest,0.9995252301048658,0.9966433560143209,0.0032869308943090773,0.0062948843357771575,0.9958248093339492,0.0004995309727205649,0.002881874090544967
Decision Tree,0.9999132706779036,0.993406716268764,0.003445557855062891,0.00882238480952503,0.9937852043763312,0.0011471545101702494,0.006506554409139609
Linear Regression,0.9914030056985119,0.9928477810097205,0.0070722279501959084,0.009188730534035815,0.9909848972928887,0.0005177353774882802,-0.0014447753112085682
Ridge,0.9908208433081431,0.9917251737439694,0.007742786094544032,0.009883586235691392,0.9902269842307554,0.0005817825227182187,-0.0009043304358262727
KNN,0.9948608267116874,0.9914110816065169,0.006996747967479684,0.010069417596450525,0.9897844798981217,0.0013947332836576943,0.0034497451051704875
SVR,0.9918106693871929,0.9908705685517323,0.008279583475806108,0.010381425219531382,0.9906506601366918,0.0014785272559674073,0.0009401008354605889
AdaBoost,0.9896840694027824,0.9884947372437496,0.0097273490029154,0.011654224632265588,0.9868857811123288,0.001316743414863626,0.0011893321590328298
ElasticNet,0.9177785135334022,0.9158006977150763,0.024310314492434742,0.0315274873694969,0.9172338560407525,0.006693878332465014,0.001977815818325901
Lasso,0.7250644619614663,0.7211633526558323,0.04509961092788605,0.05737332771089941,0.7226749081130295,0.014135140927552001,0.003901109305634032
